name,align_cutoff_head_slv,align_cutoff_tail_slv,align_filter_slv,align_quality_slv,aligned_slv,lca_tax_slv,nearest_slv,turn
APMI01024466.1_2062-3782(-),0,0,,100,2020-12-10 20:48:16,Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum;,JN939404.1.1.1841~1.000 JN939424.1.1.1841~0.999 JN939428.1.1.1841~0.995 JN939409.1.1.1842~0.994 JN939413.1.1.1842~0.994 JN939431.1.1.1842~0.991 JN939432.1.1.1842~0.991 JN939403.1.1.1842~0.991 JN939430.1.1.1843~0.990 JN939415.1.1.1843~0.990 ,turn-check disabled
APMI01021474.1_0-1237(-),0,0,,99,2020-12-10 20:48:16,Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Trichosporonaceae;,X60182.1.1.1799~0.995 AB035585.1.1.1789~0.988 AB035584.1.1.1789~0.984 AB001753.2.1.1756~0.981 AB001758.2.1.1756~0.978 AB039378.1.1.1791~0.977 AB035582.1.1.1792~0.976 AJ496261.1.1.1795~0.974 AB039285.1.1.1794~0.974 AJ496260.1.1.1795~0.974 ,turn-check disabled
APMI01087802.1_0-1236(+),0,4,,99,2020-12-10 20:48:16,Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Rotifera;Bdelloidea;Adinetida;,APKA01105891.1.43.1849~0.994 JQDR02014929.1.2156.3961~0.984 GARO01004421.1.9.1815~0.982 CAWI020040928.1.3973.5779~0.982 KF561095.1.1.1725~0.977 U41281.1.1.1789~0.974 GQ922301.1.1.1638~0.971 KF561100.1.1.1726~0.969 MH429976.1.1.1745~0.968 KF561102.1.1.1731~0.968 ,turn-check disabled
APMI01057396.1_2188-3984(-),0,0,,99,2020-12-10 20:48:16,Eukaryota;Amorphea;Obazoa;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Dipodascaceae;,AB000641.1.1.1754~0.957 AB000640.1.1.1752~0.946 AB000639.1.1.1753~0.934 AB013591.1.1.1781~0.924 AB000645.1.1.1744~0.924 X69842.1.1.1785~0.923 AB300502.1.1.1713~0.920 AB902196.1.1.1780~0.920 AAFM01000051.1.272740.274540~0.918 AB013563.1.1.1786~0.918 ,turn-check disabled
APMI01082761.1_21-635(-),0,0,,99,2020-12-10 20:48:17,Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Rotifera;Bdelloidea;Adinetida;,APKA01105891.1.43.1849~0.987 GARO01004421.1.9.1815~0.984 CAWI020040928.1.3973.5779~0.984 FPLP01001002.1.4.1250~0.979 CAWI020036540.1.4789.6096~0.979 CAWI020035211.1.1127.2522~0.977 JQDR02014929.1.2156.3961~0.974 U41281.1.1.1789~0.940 DQ089736.1.1.1764~0.930 DQ089732.1.1.1765~0.920 ,turn-check disabled
APMI01003586.1_0-1705(-),0,0,,99,2020-12-10 20:48:17,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Oligohymenophorea;Peritrichia;Telotrochidium;,AB902003.1.1.1732~0.993 AB902204.1.1.1733~0.978 AB901786.1.1.1731~0.975 AB901917.1.1.1732~0.974 AB902312.1.1.1733~0.974 KU869709.1.1.1730~0.974 GQ872428.1.1.1735~0.973 AB901564.1.1.1732~0.970 AB901979.1.1.1733~0.969 JX178765.1.1.1729~0.962 ,turn-check disabled
APMI01020832.1_0-1219(-),0,0,,99,2020-12-10 20:48:17,Eukaryota;Amorphea;Amoebozoa;Tubulinea;Arcellinida;Echinamoebida;,GEUY01002075.1.1.1239~0.969 GU290114.1.1.1827~0.958 AJ489262.1.1.1873~0.847 AJ489261.1.1.1849~0.845 AJ489263.1.1.1850~0.842 AJ489267.1.1.1849~0.833 AJ489268.1.1.1825~0.829 AJ489265.1.1.1818~0.820 JQ271689.1.1.1832~0.804 DQ084366.1.1.1835~0.803 ,turn-check disabled
APMI01024272.1_546-2352(+),1,1,,99,2020-12-10 20:48:17,Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;Choanozoa;Metazoa;Animalia;BCP clade;Bilateria;Protostomia;Lophotrochozoa;Rotifera;Monogononta;Ploimida;,AB901579.1.1.1807~0.996 AB901980.1.1.1807~0.987 GFGK01001986.1.272.2070~0.983 KY886363.1.1.1791~0.976 KY886364.1.1.1800~0.976 GU070862.1.1.1786~0.975 AB901965.1.1.1807~0.974 KF159017.1.1.1775~0.968 GU070888.1.1.1815~0.966 DQ089735.1.1.1767~0.966 ,turn-check disabled
APMI01020831.1_3736-4262(-),0,0,,98,2020-12-10 20:48:17,Eukaryota;Amorphea;Amoebozoa;Tubulinea;,GU290114.1.1.1827~0.975 FPLS01038175.1.41.1299~0.863 FPLS01020495.1.8.1684~0.842 FPLS01013306.1.14.1271~0.827 FPLS01019786.1.10.1285~0.827 FPLS01054339.1.13.1284~0.808 FPLS01052824.1.50.1450~0.808 KX465196.1.1.1780~0.806 KY857824.1.1.1808~0.806 FPLS01027131.1.8.1265~0.804 ,turn-check disabled
APMI01017950.1_850-1707(+),0,0,,99,2020-12-10 20:48:17,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;,APMI01017950.1.258.1702~0.994 KF441647.1.1.1455~0.992 AF234758.1.1.1463~0.980 KY608089.1.1.1487~0.979 AYNO01000221.1.209.1678~0.977 JN869015.1.1.1456~0.974 CP020470.1.3215196.3216666~0.974 CP020470.1.2468408.2469878~0.974 FPLP01009050.1.16.1464~0.974 KC683256.1.1.1460~0.973 ,turn-check disabled
APMI01149768.1_370-1257(-),0,0,,99,2020-12-10 20:48:17,Bacteria;Planctomycetota;,APMI01149768.1.376.1915~0.983 FPLS01040280.1.16.1535~0.908 KC682902.1.1.1535~0.903 HQ827938.1.1.1503~0.892 FJ572665.1.1.1501~0.891 AB179539.1.1.1501~0.887 FPLS01051150.1.16.1534~0.885 KF944968.1.1.1260~0.884 X81950.1.1.1519~0.883 JN869014.1.1.1519~0.878 ,turn-check disabled
APMI01000085.1_211657-212526(-),0,0,,99,2020-12-10 20:48:17,Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae;Candidatus Competibacter;,APMI01000085.1.211663.213166~0.994 FPLP01012261.1.15.1518~0.984 FPLP01008578.1.12.1515~0.965 CBTK010000065.1.3658.5169~0.963 HQ010708.1.1.1485~0.959 HQ010705.1.1.1485~0.959 FPLP01008795.1.13.1517~0.959 HQ010706.1.1.1485~0.957 FPLM01008160.1.17.1530~0.957 FPLP01010902.1.14.1517~0.956 ,turn-check disabled
APMI01002255.1_2890-3753(-),0,0,,99,2020-12-10 20:48:18,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;37-13;,JN886916.1.1.1484~0.962 HQ190393.1.1.1487~0.936 FPLS01037236.1.13.1519~0.936 FPLP01002827.1.16.1520~0.935 KC331280.1.1.1486~0.933 JQ624275.1.1.1493~0.932 FPLS01018407.1.12.1517~0.929 FPLP01000864.1.1.1215~0.927 FPLS01035094.1.16.1520~0.925 MKTC01000016.1.283628.285158~0.922 ,turn-check disabled
APMI01000362.1_4196-5046(+),0,0,,100,2020-12-10 20:48:18,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;,CP005957.1.691027.692517~1.000 APMI01000363.1.28929.30436~0.961 AUNW02000026.1.4605.6060~0.952 HE681413.1.1.1465~0.949 CP007496.1.118727.120208~0.948 HE681411.1.1.1560~0.945 AY349415.1.1.1563~0.945 HE681410.1.1.1560~0.944 HQ682033.1.1.1441~0.938 CERQ01119481.1.987.2442~0.936 ,turn-check disabled
APMI01000363.1_29591-30441(+),0,0,,99,2020-12-10 20:48:18,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;,APMI01000363.1.28929.30436~0.994 CP005957.1.691027.692517~0.967 CP007496.1.118727.120208~0.960 HE681410.1.1.1560~0.959 HE681411.1.1.1560~0.956 AY349415.1.1.1563~0.956 HE681413.1.1.1465~0.954 AB200304.1.1.1489~0.944 AUNW02000026.1.4605.6060~0.944 FPLM01008931.1.17.1286~0.942 ,turn-check disabled
APMI01029102.1_22-900(-),0,0,,99,2020-12-10 20:48:18,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;,JN868797.1.1.1515~0.995 FPLS01014126.1.11.1511~0.992 FPLS01005951.1.12.1510~0.990 FPLS01014547.1.9.1511~0.990 FPLS01051920.1.11.1513~0.990 FPLS01000312.1.10.1508~0.989 CP014619.1.1165943.1167466~0.984 CP014619.1.475927.477450~0.984 CP014513.1.1419132.1420675~0.984 CP014513.1.2281788.2283331~0.984 ,turn-check disabled
APMI01009006.1_467-1226(+),0,0,,100,2020-12-10 20:48:18,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;,FJ375413.1.1.1627~1.000 FJ375373.1.1.1487~1.000 KF441678.1.1.1529~1.000 FPLP01007525.1.1.1305~0.999 AB101447.1.1.1540~0.992 FJ375395.1.1.1608~0.992 FJ375400.1.1.1686~0.992 GQ389161.1.1.1502~0.992 FJ375368.1.1.1507~0.991 JQ723669.1.1.1509~0.989 ,turn-check disabled
APMI01053559.1_125-1007(+),0,0,,95,2020-12-10 20:48:18,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;,CP011853.1.1011765.1013292~0.957 CP011853.1.193353.194880~0.957 CP011853.1.1565325.1566852~0.957 CP011853.1.2503385.2504912~0.957 BAFC01000092.1.6.1520~0.956 BACI01000096.1.25.1542~0.955 BAFB01000010.1.80.1596~0.954 BAHB01000127.1.164.1683~0.952 CP022580.1.2055125.2056633~0.952 CP022580.1.3927245.3928753~0.952 ,turn-check disabled
APMI01074565.1_1741-2579(+),0,0,,100,2020-12-10 20:48:18,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;,APMI01074565.1.1093.2594~1.000 FJ535138.1.1.1484~0.968 HQ218549.1.1.1483~0.967 DQ889723.1.1.1477~0.965 JN873187.1.1.1482~0.964 FJ192729.1.1.1480~0.964 KC295713.1.1.1454~0.963 MK123467.1.1.1514~0.962 KM873634.1.1.1480~0.961 KT182610.1.1.1483~0.959 ,turn-check disabled
APMI01023720.1_750-1613(+),0,0,,99,2020-12-10 20:48:19,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;,APMI01023720.1.110.1612~0.999 GQ406180.1.1.1496~0.990 GQ406181.1.1.1496~0.984 JQ723636.1.1.1488~0.969 EU662364.1.1.1484~0.969 AB240492.1.1.1486~0.969 EF467579.1.1.1485~0.965 FJ502271.1.1.1488~0.964 AJ306736.1.1.1517~0.957 HQ609695.1.1.1490~0.954 ,turn-check disabled
APMI01000062.1_673972-674831(+),0,0,,99,2020-12-10 20:48:19,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;,APMI01000062.1.673318.674824~0.992 EU676410.1.1.1454~0.966 DQ404908.1.1.1516~0.960 KU341406.1.1.1450~0.953 EF562554.1.1.1469~0.952 CP032157.1.4958856.4960391~0.949 FPLS01006644.1.21.1526~0.949 CP003178.1.1184433.1185950~0.948 CP003178.1.6188984.6190500~0.948 CP003178.1.6374713.6376229~0.948 ,turn-check disabled
APMI01055780.1_89-988(-),0,0,,99,2020-12-10 20:48:19,Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;,APMI01055780.1.95.1591~0.994 AP018373.1.40052.41556~0.950 AJ245645.1.3807.5344~0.888 APJO01001039.1.22593.24112~0.883 KM462885.1.159528.161093~0.859 FJ890890.1.1.1507~0.859 FJ968741.1.89400.90990~0.854 MF683077.1.1.1459~0.851 Y17632.1.1.2184~0.850 AB001684.1.22293.23786~0.843 ,turn-check disabled
APMI01057652.1_1995-3817(+),0,0,,99,2020-12-10 20:48:19,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;,APMI01057652.1.1997.3810~0.993 AB470468.1.1.1773~0.948 KP898383.1.1.3587~0.946 LC270822.2.1.1756~0.931 X56099.1.1.1802~0.917 X73992.1.1.1798~0.915 AJ439399.2.1.1795~0.915 AY220081.1.1.1793~0.912 AB080307.1.1.1791~0.912 AY195973.1.1.1796~0.911 ,turn-check disabled
APMI01168508.1_37-1217(+),0,0,,99,2020-12-10 20:48:19,Eukaryota;Discoba;Discicristata;Heterolobosea;Tetramitia;Naegleria;,DQ768719.1.1.2011~0.997 DQ768721.1.1.2011~0.982 AF011457.1.1.2048~0.980 AF338420.1.1.3285~0.980 JQ271699.1.1.2011~0.980 GU320598.1.1.2010~0.978 KX069001.1.1.1822~0.976 U80060.1.1.1974~0.976 DQ768722.1.1.2021~0.951 X93224.1.1.1923~0.947 ,turn-check disabled
APMI01025423.1_808-1709(+),0,0,,99,2020-12-10 20:48:19,Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;,APMI01025423.1.182.1704~0.994 KF481682.1.1.1525~0.971 CP011454.1.2072843.2074370~0.971 CP011454.1.2421592.2423119~0.971 FM873495.1.1.1476~0.957 AP009153.1.1882855.1884381~0.952 FPLK01001083.1.9.1511~0.945 FPLS01003495.1.9.1512~0.945 FPLS01009538.1.13.1234~0.940 FPLS01006054.1.1.1494~0.935 ,turn-check disabled
APMI01000105.1_687004-687865(-),0,0,,99,2020-12-10 20:48:20,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;,APMI01000105.1.687007.688514~0.994 FPLS01024879.1.2.1285~0.978 FPLS01021989.1.14.1521~0.977 MLJW01000012.1.177783.179297~0.965 LMYF01000009.1.586686.588187~0.958 MHKA01000028.1.3498.5034~0.956 FPLS01059843.1.13.1516~0.955 JF739858.1.1.1531~0.950 FPLS01052981.1.17.1519~0.950 FM872812.1.1.1481~0.948 ,turn-check disabled
APMI01000355.1_375-1239(+),0,2,,99,2020-12-10 20:48:20,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Edaphobaculum;,FN428761.1.1.1496~0.975 FPLS01006708.1.18.1524~0.970 FPLL01002868.1.24.1527~0.961 FPLS01051552.1.12.1518~0.961 FPLS01010056.1.20.1526~0.956 FPLL01003775.1.18.1518~0.956 FPLS01022757.1.15.1521~0.955 FPLS01045497.1.2.1420~0.955 FPLS01044833.1.12.1516~0.955 FPLS01022659.1.17.1519~0.955 ,turn-check disabled
APMI01056016.1_962-1836(+),0,0,,99,2020-12-10 20:48:20,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Runella;,APMI01056016.1.337.1834~0.998 CP031030.1.5736035.5737545~0.975 CP031030.1.5815646.5817156~0.975 CP031030.1.7119788.7121298~0.975 HQ111156.1.1.1466~0.953 CP030850.1.4137896.4139406~0.945 CP030850.1.4145624.4147134~0.945 CP030850.1.5960541.5962051~0.945 KC253315.1.1.1470~0.943 FPLP01011634.1.50.1534~0.941 ,turn-check disabled
APMI01015156.1_2273-3156(+),0,0,,99,2020-12-10 20:48:20,Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;,APMI01015156.1.1664.3151~0.994 MKRX01000006.1.343791.345298~0.961 FPLS01033080.1.13.1502~0.954 FPLS01027561.1.11.1497~0.954 FPLM01005557.1.15.1228~0.951 FPLL01003559.1.1.1434~0.948 FPLS01025301.1.19.1270~0.947 FPLL01005119.1.11.1504~0.943 FPLS01023443.1.3.1310~0.943 FPLS01035689.1.10.1400~0.943 ,turn-check disabled
APMI01162943.1_442-1310(-),0,0,,99,2020-12-10 20:48:20,Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;,FPLP01003798.1.13.1427~0.991 FPLP01003851.1.15.1474~0.990 FPLP01009365.1.1.1470~0.922 MH938164.1.1.1470~0.918 AJ009460.1.1.1493~0.917 KC683192.1.1.1474~0.916 KC683259.1.1.1474~0.915 FPLP01007639.1.13.1440~0.914 HQ166707.1.1.1495~0.912 GQ487895.1.1.1445~0.909 ,turn-check disabled
APMI01048638.1_2132-2772(-),0,0,,99,2020-12-10 20:48:20,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;,ARFA01000077.1.27.1513~0.992 CP020104.1.751437.752923~0.992 CP020104.1.4285807.4287293~0.992 CP020104.1.7901922.7903408~0.992 EU370956.1.1.1442~0.942 JX089325.2.1.1440~0.941 CP014263.1.5309822.5311338~0.941 CP014263.1.3067265.3068776~0.941 CP014263.1.4769262.4770782~0.941 KY386517.1.1.1485~0.933 ,turn-check disabled
APMI01031815.1_1896-2763(-),0,0,,99,2020-12-10 20:48:20,Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;,FPLS01014646.1.14.1487~0.994 APMI01031815.1.1902.3375~0.993 FPLS01044103.1.14.1488~0.991 FPLM01000410.1.1.1347~0.990 FPLS01022362.1.15.1489~0.985 GQ480058.1.1.1455~0.968 AB630833.1.1.1416~0.948 HM447657.1.1.1446~0.941 JQ428526.1.1.1449~0.934 JQ428262.1.1.1451~0.931 ,turn-check disabled
APMI01092560.1_2706-3189(-),0,0,,99,2020-12-10 20:48:20,Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;,FPLP01003145.1.8.1527~0.979 FPLP01006411.1.15.1536~0.969 GQ406202.1.1.1513~0.963 JQ996662.1.1.1535~0.961 AUAU01000012.1.3754.5273~0.959 AUAU01000029.1.3754.5273~0.959 AUAU01000033.1.237.1756~0.959 FPLP01007648.1.8.1528~0.959 FPLP01002072.1.15.1535~0.959 FPLM01007579.1.8.1529~0.959 ,turn-check disabled
APMI01011927.1_85-1897(+),0,0,,87,2020-12-10 20:48:20,Unclassified;,,turn-check disabled
APMI01036805.1_1-481(+),0,0,,95,2020-12-10 20:48:21,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Flectobacillus;,LN810638.2.1.1401~0.971 MG674652.1.1.1414~0.971 FN547417.1.1.1487~0.969 KJ938566.1.1.1489~0.969 EU420062.1.1.1385~0.969 KT826313.1.1.1469~0.958 KP898213.1.1.1336~0.954 KM263151.1.1.1379~0.952 KC588923.1.1.1421~0.952 ATXY01000007.1.94928.96413~0.944 ,turn-check disabled
APMI01056016.1_375-909(+),0,0,,100,2020-12-10 20:48:21,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Runella;,APMI01056016.1.337.1834~1.000 CP031030.1.5736035.5737545~0.998 CP031030.1.5815646.5817156~0.998 CP031030.1.7119788.7121298~0.998 HQ111156.1.1.1466~0.996 DQ372980.1.1.1427~0.989 GQ022810.1.1.1337~0.985 KC253345.1.1.1479~0.978 KC253315.1.1.1470~0.976 AM888195.1.1.1437~0.959 ,turn-check disabled
